2021-03-09 10:01:03.640 [http-nio-8080-exec-5] INFO  com.demo.parking_access.controller.ParkHandover - {"wuLicense":"","address":"","payTime":0,"openId":"","uuid":"A04E058FC92C401FAF090E9C38C70A62","version":0,"parkid":"eN3423NwQ1","orgUuid":"eN3423NwQ1","license":"赣FD9688","picUrl":"http://muyun-park.oss-cn-hangzhou.aliyuncs.com/p31010012/in/2021-03-09/10/蓝色_赣FD9688_20210309100045959.jpg","carType":4,"gateUuid":"ru8j1E9vLC","time":1615255246}
2021-03-09 10:01:03.768 [http-nio-8080-exec-5] INFO  com.demo.parking_access.controller.ParkHandover - 2021-03-09 10:01:03 [billing]-总停车时间：0.004722222222222222
2021-03-09 10:01:03.768 [http-nio-8080-exec-5] INFO  com.demo.parking_access.controller.ParkHandover - freeTimeUnit:0
2021-03-09 10:01:03.768 [http-nio-8080-exec-5] INFO  com.demo.parking_access.controller.ParkHandover - 2021-03-09 10:01:03余小时：0
2021-03-09 10:01:03.768 [http-nio-8080-exec-5] INFO  com.demo.parking_access.controller.ParkHandover - 天数金额:0.0
2021-03-09 10:01:03.768 [http-nio-8080-exec-5] INFO  com.demo.parking_access.controller.ParkHandover - 计算分钟:0.2833333333333333
2021-03-09 10:01:03.769 [http-nio-8080-exec-5] INFO  com.demo.parking_access.controller.ParkHandover - 出场小时单位：10
2021-03-09 10:01:03.786 [http-nio-8080-exec-5] INFO  com.demo.parking_access.controller.ParkHandover - feeplanUuid:4B51860278264D1D89E5FD62856A1B79amount:500.0
2021-03-09 10:01:03.787 [http-nio-8080-exec-5] INFO  com.demo.parking_access.controller.ParkHandover - 多余分钟按日间或夜间金额:500.0
2021-03-09 10:01:03.803 [http-nio-8080-exec-5] INFO  com.demo.parking_access.controller.ParkHandover - 经过收费方案的钱:0.0
2021-03-09 10:01:03.803 [http-nio-8080-exec-5] INFO  com.demo.parking_access.controller.ParkHandover - 总金额:500.0不超出一天的金额:500.0不超过一小时的金额:500.0
2021-03-09 10:01:03.849 [http-nio-8080-exec-5] INFO  com.demo.parking_access.controller.ParkHandover - carOut-CarType-4 -> 不能支付amout:5.0
2021-03-09 10:01:04.962 [http-nio-8080-exec-9] INFO  com.demo.parking_access.controller.ParkHandover - sMN59oy5vm
2021-03-09 10:01:05.142 [http-nio-8080-exec-9] INFO  com.demo.parking_access.controller.ParkHandover - 2021-03-09 10:01:05 [billing]-总停车时间：0.005277777777777778
2021-03-09 10:01:05.142 [http-nio-8080-exec-9] INFO  com.demo.parking_access.controller.ParkHandover - freeTimeUnit:0
2021-03-09 10:01:05.142 [http-nio-8080-exec-9] INFO  com.demo.parking_access.controller.ParkHandover - 2021-03-09 10:01:05余小时：0
2021-03-09 10:01:05.142 [http-nio-8080-exec-9] INFO  com.demo.parking_access.controller.ParkHandover - 天数金额:0.0
2021-03-09 10:01:05.142 [http-nio-8080-exec-9] INFO  com.demo.parking_access.controller.ParkHandover - 计算分钟:0.31666666666666665
2021-03-09 10:01:05.142 [http-nio-8080-exec-9] INFO  com.demo.parking_access.controller.ParkHandover - 出场小时单位：10
2021-03-09 10:01:05.160 [http-nio-8080-exec-9] INFO  com.demo.parking_access.controller.ParkHandover - feeplanUuid:476BD17C10E54B99B1BDEE6A61B3118Bamount:10.0
2021-03-09 10:01:05.160 [http-nio-8080-exec-9] INFO  com.demo.parking_access.controller.ParkHandover - 多余分钟按日间或夜间金额:10.0
2021-03-09 10:01:05.175 [http-nio-8080-exec-9] INFO  com.demo.parking_access.controller.ParkHandover - -------进入阶梯-------
2021-03-09 10:01:05.175 [http-nio-8080-exec-9] INFO  com.demo.parking_access.controller.ParkHandover - 分钟0.31666666666666665
2021-03-09 10:01:05.175 [http-nio-8080-exec-9] INFO  com.demo.parking_access.controller.ParkHandover - 1000.00
2021-03-09 10:01:05.175 [http-nio-8080-exec-9] INFO  com.demo.parking_access.controller.ParkHandover - 经过收费方案的钱:10.0
2021-03-09 10:01:05.175 [http-nio-8080-exec-9] INFO  com.demo.parking_access.controller.ParkHandover - 总金额:10.0不超出一天的金额:10.0不超过一小时的金额:0.0
2021-03-09 10:01:05.193 [http-nio-8080-exec-9] INFO  com.demo.parking_access.controller.ParkHandover - 2021-03-09 10:01:05 [billing]-总停车时间：0.005277777777777778
2021-03-09 10:01:05.194 [http-nio-8080-exec-9] INFO  com.demo.parking_access.controller.ParkHandover - freeTimeUnit:0
2021-03-09 10:01:05.194 [http-nio-8080-exec-9] INFO  com.demo.parking_access.controller.ParkHandover - 2021-03-09 10:01:05余小时：0
2021-03-09 10:01:05.194 [http-nio-8080-exec-9] INFO  com.demo.parking_access.controller.ParkHandover - 天数金额:0.0
2021-03-09 10:01:05.194 [http-nio-8080-exec-9] INFO  com.demo.parking_access.controller.ParkHandover - 计算分钟:0.31666666666666665
2021-03-09 10:01:05.194 [http-nio-8080-exec-9] INFO  com.demo.parking_access.controller.ParkHandover - 出场小时单位：10
2021-03-09 10:01:05.208 [http-nio-8080-exec-9] INFO  com.demo.parking_access.controller.ParkHandover - feeplanUuid:CBD80AEACD4347928A20B6605DAB7F21amount:200.0
